σ,α=σ+1/2,Q,p_min(threshold),μ_small,μ_far,μ_min,Δ_SS,Δ_SF,Δ_FS,Δ_FF,Δ_total,K = Δ/μ_min,θ,L_cum,e^{-L},δ_Schur,OK? δ_Schur ≥ e^{-L}
0.6,1.1,29,35.62893101291212,0.959149,0.972082,0.959149,0.025002,0.204552,0.001625,0.008609,0.239787,0.25,0.25,0.25,0.778801,0.719362,False
0.59,1.09,29,127.53749243705951,0.957449,0.981037,0.957449,0.025644,0.211016,0.000425,0.002277,0.239362,0.25,0.25,0.5,0.606531,0.718086,True
0.58,1.08,29,1020.9015358270116,0.955703,0.99128,0.955703,0.026304,0.212321,4.8e-05,0.000253,0.238926,0.25,0.25,0.75,0.472367,0.716778,True
0.57,1.07,29,21595.551931778482,0.953913,0.99758,0.953913,0.026983,0.211483,2e-06,1e-05,0.238478,0.25,0.25,1.0,0.367879,0.715435,True
0.56,1.06,29,1830431.2217091562,0.952008,0.999671,0.952008,0.02768,0.210322,0.0,0.0,0.238002,0.25,0.25,1.25,0.286505,0.714006,True
0.55,1.05,29,1621305844.6101642,0.949953,0.999986,0.949953,0.028397,0.209091,0.0,0.0,0.237488,0.25,0.25,1.5,0.22313,0.712465,True
0.54,1.04,29,119205062557001.19,0.947835,1.0,0.947835,0.029134,0.207825,0.0,0.0,0.236959,0.25,0.25,1.75,0.173774,0.710877,True
0.53,1.03,29,1.3317010273499046e+23,0.945654,1.0,0.945654,0.029892,0.206522,0.0,0.0,0.236414,0.25,0.25,2.0,0.135335,0.709241,True
0.52,1.02,29,6.068875422145587e+43,0.943407,1.0,0.943407,0.030671,0.205181,0.0,0.0,0.235852,0.25,0.25,2.25,0.105399,0.707555,True
0.51,1.01,29,1.833147140772312e+118,0.941093,1.0,0.941093,0.031472,0.203802,0.0,0.0,0.235273,0.25,0.25,2.5,0.082085,0.70582,True
