σ,α,p_min(threshold),μ_small,μ_far,μ_min,Δ_SS,Δ_SF,Δ_FS,Δ_FF,Δ_total,K,θ,L_cum,e^{-L},δ_Schur,OK
0.8,1.3,31.0,0.984794,0.992662,0.984794,0.015209,0.030499,0.000723,0.000865,0.047296,0.048026,0.048026,0.048026,0.953109,0.937498,False
0.79,1.29,31.0,0.983857,0.992026,0.983857,0.015585,0.032869,0.000759,0.000958,0.05017,0.050993,0.050993,0.099019,0.905725,0.933687,True
0.78,1.28,31.0,0.982901,0.991354,0.982901,0.01597,0.035466,0.000796,0.001062,0.053294,0.054221,0.054221,0.15324,0.857924,0.929608,True
0.77,1.27,31.0,0.981927,0.990645,0.981927,0.016366,0.038316,0.000835,0.001179,0.056697,0.05774,0.05774,0.210981,0.80979,0.92523,True
0.76,1.26,31.0,0.980933,0.989898,0.980933,0.016773,0.041453,0.000875,0.001311,0.060413,0.061587,0.061587,0.272568,0.761422,0.92052,True
0.75,1.25,31.0,0.979919,0.989109,0.979919,0.01719,0.044913,0.000918,0.00146,0.064482,0.065803,0.065803,0.338371,0.712931,0.915437,True
0.74,1.24,31.0,0.978804,0.988278,0.978804,0.017619,0.04874,0.000963,0.001629,0.068951,0.070444,0.070444,0.408815,0.664437,0.909853,True
0.73,1.23,31.0,0.977631,0.987402,0.977631,0.018059,0.052984,0.00101,0.00182,0.073874,0.075564,0.075564,0.484379,0.616079,0.903757,True
0.72,1.22,31.0,0.976427,0.986478,0.976427,0.018512,0.057708,0.00106,0.002037,0.079317,0.081232,0.081232,0.565611,0.568013,0.89711,True
0.71,1.21,31.0,0.975189,0.985506,0.975189,0.018976,0.062982,0.001112,0.002285,0.085356,0.087527,0.087527,0.653138,0.52041,0.889833,True
0.7,1.2,31.0,0.973917,0.984483,0.973917,0.019453,0.068895,0.001167,0.002569,0.092085,0.094551,0.094551,0.747689,0.473459,0.881832,True
0.69,1.19,31.0,0.97261,0.983405,0.97261,0.019943,0.075552,0.001225,0.002896,0.099616,0.102421,0.102421,0.85011,0.427368,0.872994,True
0.68,1.18,31.0,0.971268,0.982272,0.971268,0.020446,0.083083,0.001285,0.003273,0.108087,0.111284,0.111284,0.961394,0.382359,0.863181,True
0.67,1.17,31.0,0.969889,0.981079,0.969889,0.020963,0.091646,0.001349,0.00371,0.117669,0.121322,0.121322,1.082716,0.338674,0.85222,True
0.66,1.16,31.0,0.968473,0.979824,0.968473,0.021494,0.101444,0.001415,0.004221,0.128575,0.13276,0.13276,1.215476,0.296569,0.839898,True
0.65,1.15,31.0,0.967019,0.978505,0.967019,0.02204,0.112729,0.001485,0.004821,0.141076,0.145887,0.145887,1.361363,0.256311,0.825943,True
0.64,1.14,31.0,0.965527,0.977119,0.965527,0.022601,0.125829,0.001559,0.005531,0.15552,0.161073,0.161073,1.522436,0.21818,0.810007,True
0.63,1.13,31.0,0.963994,0.975662,0.963994,0.023177,0.141171,0.001637,0.006378,0.172363,0.1788,0.1788,1.701236,0.182458,0.791632,True
0.62,1.12,31.0,0.962421,0.974131,0.962421,0.023769,0.159327,0.001718,0.007398,0.192212,0.199717,0.199717,1.900954,0.149426,0.770209,True
0.61,1.11,31.0,0.960806,0.972522,0.960806,0.024377,0.181076,0.001804,0.008642,0.215898,0.224705,0.224705,2.125659,0.119354,0.744908,True
0.6,1.1,31.0,0.959149,0.970833,0.959149,0.025002,0.207508,0.001894,0.010178,0.244582,0.254998,0.254998,2.380657,0.09249,0.714568,True
0.59,1.09,31.0,0.957449,0.969059,0.957449,0.025644,0.2402,0.001988,0.012109,0.279942,0.292383,0.292383,2.67304,0.069042,0.677507,True
0.58,1.08,31.0,0.955703,0.967198,0.955703,0.026304,0.281519,0.002088,0.014586,0.324497,0.339538,0.339538,3.012578,0.049165,0.631206,True
0.57,1.07,31.0,0.953913,0.965243,0.953913,0.026983,0.335183,0.002192,0.01785,0.382207,0.400673,0.400673,3.413251,0.032934,0.571706,True
0.56,1.06,31.0,0.952008,0.963192,0.952008,0.02768,0.407389,0.002302,0.022298,0.459669,0.482842,0.482842,3.896093,0.020321,0.492339,True
0.55,1.05,448.64477782990144,0.949953,0.984067,0.949953,0.028397,0.44492,0.000146,0.001513,0.474976,0.5,0.5,4.396093,0.012325,0.474976,True
0.54,1.04,653171.5876499921,0.947835,0.999257,0.947835,0.029134,0.444783,0.0,1e-06,0.473918,0.5,0.5,4.896093,0.007476,0.473918,True
0.53,1.03,1198365562795.2603,0.945654,0.999999,0.945654,0.029892,0.442935,0.0,0.0,0.472827,0.5,0.5,5.396093,0.004534,0.472827,True
0.52,1.02,1.466982802983654e+27,0.943407,1.0,0.943407,0.030671,0.441033,0.0,0.0,0.471704,0.5,0.5,5.896093,0.00275,0.471704,True
0.51,1.01,8.513555828982324e+84,0.941093,1.0,0.941093,0.031472,0.439075,0.0,0.0,0.470546,0.5,0.5,6.396093,0.001668,0.470546,True
